MONITORED: % | ON: 54.87% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 59.21% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3160000
MONITORED: % | ON: 28.84% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 35.67% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3400000
MONITORED: % | ON: 16.85% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 24.83% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3760000
MONITORED: % | ON: 1.06% | TX: 0.04% | RX: 0.02% | INT: 0.00% | ONL: 18.28% | TXL: 1.95% | RXL: 3.89% | INTL: 0.41% | Energy: 122198320
MONITORED: % | ON: 0.69% | TX: 0.04% | RX: 0.01% | INT: 0.00% | ONL: 16.96% | TXL: 1.96% | RXL: 3.34% | INTL: 0.38% | Energy: 428501920
MONITORED: % | ON: 0.54% | TX: 0.03% | RX: 0.01% | INT: 0.00% | ONL: 15.33% | TXL: 1.69% | RXL: 2.64% | INTL: 0.27% | Energy: 648725920
MONITORED: % | ON: 0.45% | TX: 0.03% | RX: 0.01% | INT: 0.00% | ONL: 14.39% | TXL: 1.52% | RXL: 2.21% | INTL: 0.23% | Energy: 862266080
MONITORED: % | ON: 0.41% | TX: 0.03% | RX: 0.01% | INT: 0.00% | ONL: 13.84% | TXL: 1.34% | RXL: 1.99% | INTL: 0.20% | Energy: 951839680
MONITORED: % | ON: 0.36% | TX: 0.03% | RX: 0.00% | INT: 0.00% | ONL: 13.39% | TXL: 1.20% | RXL: 1.80% | INTL: 0.18% | Energy: 1048729760
MONITORED: % | ON: 0.37% | TX: 0.03% | RX: 0.00% | INT: 0.00% | ONL: 13.08% | TXL: 1.03% | RXL: 1.77% | INTL: 0.17% | Energy: 1246285040
MONITORED: % | ON: 0.34% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 12.73% | TXL: 0.93% | RXL: 1.63% | INTL: 0.16% | Energy: 1424712000
MONITORED: % | ON: 0.32% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 12.47% | TXL: 0.86% | RXL: 1.51% | INTL: 0.14% | Energy: 1602247360
MONITORED: % | ON: 0.31% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 12.39% | TXL: 0.84% | RXL: 1.47% | INTL: 0.14% | Energy: 1648891600
MONITORED: % | ON: 0.29% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 12.18% | TXL: 0.78% | RXL: 1.36% | INTL: 0.13% | Energy: 1789417840
MONITORED: % | ON: 0.26% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 11.97% | TXL: 0.72% | RXL: 1.25% | INTL: 0.13% | Energy: 1955694000
MONITORED: % | ON: 0.24% | TX: 0.02% | RX: 0.00% | INT: 0.00% | ONL: 11.78% | TXL: 0.67% | RXL: 1.15% | INTL: 0.12% | Energy: 2116507120
MONITORED: % | ON: 0.22% | TX: 0.02% | RX: 0.00% | INT: 0.00% | ONL: 11.66% | TXL: 0.63% | RXL: 1.09% | INTL: 0.12% | Energy: 2237094720
MONITORED: % | ON: 0.22% | TX: 0.02% | RX: 0.00% | INT: 0.00% | ONL: 11.60% | TXL: 0.62% | RXL: 1.06% | INTL: 0.11% | Energy: 2293884160
MONITORED: % | ON: 0.20% | TX: 0.02% | RX: 0.00% | INT: 0.00% | ONL: 11.48% | TXL: 0.58% | RXL: 1.00% | INTL: 0.11% | Energy: 2454306160
MONITORED: % | ON: 0.19% | TX: 0.02% | RX: 0.00% | INT: 0.00% | ONL: 11.36% | TXL: 0.55% | RXL: 0.94% | INTL: 0.11% | Energy: 2614690240
MONITORED: % | ON: 0.18% | TX: 0.02% | RX: 0.00% | INT: 0.00% | ONL: 11.26% | TXL: 0.52% | RXL: 0.89% | INTL: 0.10% | Energy: 2770645760
MONITORED: % | ON: 0.17% | TX: 0.02% | RX: 0.00% | INT: 0.00% | ONL: 11.22% | TXL: 0.51% | RXL: 0.87% | INTL: 0.10% | Energy: 2851973840
