MONITORED: % | ON: 68.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 71.17% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5460000
MONITORED: % | ON: 29.93% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 36.66% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5940000
MONITORED: % | ON: 2.17% | TX: 0.00% | RX: 0.04% | INT: 0.00% | ONL: 32.32% | TXL: 1.49% | RXL: 9.47% | INTL: 3.34% | Energy: 74246320
MONITORED: % | ON: 0.82% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 30.09% | TXL: 1.48% | RXL: 9.05% | INTL: 4.00% | Energy: 231161280
MONITORED: % | ON: 0.60% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 28.42% | TXL: 2.74% | RXL: 7.69% | INTL: 3.41% | Energy: 376772560
MONITORED: % | ON: 0.44% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 25.66% | TXL: 2.79% | RXL: 6.57% | INTL: 3.06% | Energy: 482228640
MONITORED: % | ON: 0.38% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 24.71% | TXL: 2.85% | RXL: 6.19% | INTL: 2.94% | Energy: 600860640
MONITORED: % | ON: 0.42% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 24.80% | TXL: 2.70% | RXL: 6.41% | INTL: 3.06% | Energy: 738007920
MONITORED: % | ON: 0.38% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 24.78% | TXL: 2.87% | RXL: 6.21% | INTL: 3.03% | Energy: 876834080
MONITORED: % | ON: 0.58% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 23.79% | TXL: 2.68% | RXL: 5.97% | INTL: 3.00% | Energy: 975959360
MONITORED: % | ON: 0.75% | TX: 0.04% | RX: 0.03% | INT: 0.00% | ONL: 23.95% | TXL: 2.79% | RXL: 5.98% | INTL: 3.05% | Energy: 1119094800
MONITORED: % | ON: 0.82% | TX: 0.05% | RX: 0.03% | INT: 0.00% | ONL: 23.34% | TXL: 2.79% | RXL: 5.78% | INTL: 2.97% | Energy: 1220273120
MONITORED: % | ON: 0.81% | TX: 0.05% | RX: 0.03% | INT: 0.00% | ONL: 23.45% | TXL: 2.74% | RXL: 5.88% | INTL: 3.03% | Energy: 1305464480
MONITORED: % | ON: 0.78% | TX: 0.05% | RX: 0.03% | INT: 0.00% | ONL: 23.26% | TXL: 2.61% | RXL: 5.97% | INTL: 3.03% | Energy: 1397781440
MONITORED: % | ON: 0.75% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 24.00% | TXL: 2.61% | RXL: 6.22% | INTL: 3.24% | Energy: 1572164240
