MONITORED: % | ON: 56.14% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 60.35% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3320000
MONITORED: % | ON: 29.91% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 36.64% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3560000
MONITORED: % | ON: 17.82% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 24.50% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3800000
MONITORED: % | ON: 2.14% | TX: 0.04% | RX: 0.02% | INT: 0.00% | ONL: 57.85% | TXL: 1.24% | RXL: 20.46% | INTL: 11.40% | Energy: 126169680
MONITORED: % | ON: 0.95% | TX: 0.04% | RX: 0.03% | INT: 0.00% | ONL: 50.77% | TXL: 1.12% | RXL: 17.93% | INTL: 9.84% | Energy: 440934480
MONITORED: % | ON: 0.85% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 43.56% | TXL: 1.15% | RXL: 15.70% | INTL: 7.70% | Energy: 669835440
MONITORED: % | ON: 0.76% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 39.59% | TXL: 1.32% | RXL: 14.05% | INTL: 6.75% | Energy: 866392080
MONITORED: % | ON: 0.69% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 37.16% | TXL: 1.15% | RXL: 12.98% | INTL: 6.28% | Energy: 1038829520
MONITORED: % | ON: 0.68% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 35.82% | TXL: 1.14% | RXL: 12.64% | INTL: 5.89% | Energy: 1232449680
MONITORED: % | ON: 0.63% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 35.69% | TXL: 1.20% | RXL: 12.46% | INTL: 5.78% | Energy: 1469093520
MONITORED: % | ON: 0.63% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 35.61% | TXL: 1.16% | RXL: 12.49% | INTL: 5.65% | Energy: 1692413280
MONITORED: % | ON: 0.64% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 35.22% | TXL: 1.16% | RXL: 12.39% | INTL: 5.51% | Energy: 1901120640
MONITORED: % | ON: 0.62% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 34.94% | TXL: 1.11% | RXL: 12.29% | INTL: 5.54% | Energy: 2116144240
MONITORED: % | ON: 0.61% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 34.61% | TXL: 1.09% | RXL: 12.19% | INTL: 5.45% | Energy: 2317728080
MONITORED: % | ON: 0.60% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 34.97% | TXL: 1.11% | RXL: 12.29% | INTL: 5.59% | Energy: 2567225200
MONITORED: % | ON: 0.59% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 35.12% | TXL: 1.15% | RXL: 12.28% | INTL: 5.64% | Energy: 2815837360
MONITORED: % | ON: 0.59% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 34.45% | TXL: 1.15% | RXL: 12.04% | INTL: 5.50% | Energy: 2997191360
MONITORED: % | ON: 0.57% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.85% | TXL: 1.09% | RXL: 11.83% | INTL: 5.44% | Energy: 3172345360
MONITORED: % | ON: 0.58% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.60% | TXL: 1.06% | RXL: 11.84% | INTL: 5.35% | Energy: 3383697680
MONITORED: % | ON: 0.59% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.80% | TXL: 1.04% | RXL: 11.95% | INTL: 5.43% | Energy: 3544990320
MONITORED: % | ON: 0.59% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.63% | TXL: 1.02% | RXL: 11.90% | INTL: 5.41% | Energy: 3673955360
MONITORED: % | ON: 0.59% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.77% | TXL: 1.01% | RXL: 11.98% | INTL: 5.47% | Energy: 3911134400
MONITORED: % | ON: 0.59% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.87% | TXL: 1.00% | RXL: 12.02% | INTL: 5.53% | Energy: 4124106960
MONITORED: % | ON: 0.58% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.71% | TXL: 0.99% | RXL: 11.92% | INTL: 5.58% | Energy: 4299813840
MONITORED: % | ON: 0.58% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.73% | TXL: 0.95% | RXL: 11.95% | INTL: 5.59% | Energy: 4501469200
MONITORED: % | ON: 0.81% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 33.45% | TXL: 1.00% | RXL: 11.80% | INTL: 5.58% | Energy: 4722101920
