MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 8980000
MONITORED: % | ON: 69.70% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 72.61% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 11740000
MONITORED: % | ON: 4.85% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 57.46% | TXL: 0.45% | RXL: 25.04% | INTL: 2.72% | Energy: 136969040
MONITORED: % | ON: 2.55% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 53.28% | TXL: 0.85% | RXL: 22.89% | INTL: 3.86% | Energy: 390518080
MONITORED: % | ON: 1.81% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 43.83% | TXL: 0.76% | RXL: 18.27% | INTL: 3.23% | Energy: 506361360
MONITORED: % | ON: 1.47% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 39.14% | TXL: 0.73% | RXL: 15.89% | INTL: 3.02% | Energy: 615513600
MONITORED: % | ON: 1.20% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 34.08% | TXL: 0.65% | RXL: 13.56% | INTL: 2.72% | Energy: 681090080
MONITORED: % | ON: 1.02% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 30.47% | TXL: 0.68% | RXL: 11.85% | INTL: 2.49% | Energy: 734473120
MONITORED: % | ON: 0.91% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 28.35% | TXL: 0.63% | RXL: 10.87% | INTL: 2.32% | Energy: 802399680
MONITORED: % | ON: 0.83% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 26.51% | TXL: 0.59% | RXL: 10.02% | INTL: 2.19% | Energy: 857593200
MONITORED: % | ON: 0.76% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 25.01% | TXL: 0.57% | RXL: 9.29% | INTL: 2.08% | Energy: 910936000
MONITORED: % | ON: 0.72% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.62% | TXL: 0.56% | RXL: 9.06% | INTL: 2.01% | Energy: 1006137920
MONITORED: % | ON: 0.71% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 24.77% | TXL: 0.55% | RXL: 9.22% | INTL: 2.03% | Energy: 1123528560
MONITORED: % | ON: 0.70% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 24.79% | TXL: 0.54% | RXL: 9.18% | INTL: 1.99% | Energy: 1237775040
MONITORED: % | ON: 0.70% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 24.69% | TXL: 0.53% | RXL: 9.18% | INTL: 1.99% | Energy: 1305587520
MONITORED: % | ON: 0.69% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 24.81% | TXL: 0.53% | RXL: 9.23% | INTL: 2.01% | Energy: 1394061280
MONITORED: % | ON: 0.66% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 24.33% | TXL: 0.52% | RXL: 9.04% | INTL: 2.03% | Energy: 1466437120
MONITORED: % | ON: 0.64% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 23.74% | TXL: 0.51% | RXL: 8.75% | INTL: 2.01% | Energy: 1526764320
MONITORED: % | ON: 0.62% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 23.50% | TXL: 0.50% | RXL: 8.64% | INTL: 1.98% | Energy: 1607467360
MONITORED: % | ON: 0.61% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 23.50% | TXL: 0.49% | RXL: 8.64% | INTL: 1.99% | Energy: 1704716880
MONITORED: % | ON: 0.61% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 23.47% | TXL: 0.48% | RXL: 8.64% | INTL: 1.98% | Energy: 1808189200
MONITORED: % | ON: 0.60% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 23.67% | TXL: 0.48% | RXL: 8.71% | INTL: 2.02% | Energy: 1926387520
MONITORED: % | ON: 0.60% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 23.81% | TXL: 0.47% | RXL: 8.79% | INTL: 2.03% | Energy: 2039766560
MONITORED: % | ON: 0.61% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 23.74% | TXL: 0.47% | RXL: 8.79% | INTL: 2.04% | Energy: 2143609520
MONITORED: % | ON: 0.61% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 24.18% | TXL: 0.47% | RXL: 8.98% | INTL: 2.11% | Energy: 2294669520
