packet id 001 loss!!!
packet id 002 delay: 240912
packet id 003 delay: 917232
packet id 004 delay: 185200
packet id 005 delay: 133920
packet id 006 delay: 867064
packet id 007 delay: 312312
packet id 008 delay: 343472
packet id 009 delay: 314392
packet id 010 delay: 523992
packet id 011 loss!!!
packet id 012 delay: 3706520
packet id 013 delay: 287720
packet id 014 delay: 290280
packet id 015 delay: 235200
packet id 016 delay: 272680
packet id 017 delay: 217320
packet id 018 delay: 363040
packet id 019 delay: 235960
packet id 020 delay: 221920
packet id 021 delay: 208200
packet id 022 delay: 289000
packet id 023 loss!!!
packet id 024 delay: 216200
packet id 025 delay: 298680
packet id 026 delay: 203880
packet id 027 delay: 269280
packet id 028 delay: 90880
packet id 029 delay: 203560
packet id 030 delay: 276600
packet id 031 delay: 631920
packet id 032 delay: 204200
packet id 033 delay: 349680
packet id 034 delay: 178200
packet id 035 delay: 1121192
packet id 036 delay: 194000
packet id 037 delay: 252600
packet id 038 delay: 240600
packet id 039 delay: 206080
packet id 040 delay: 283920
packet id 041 delay: 222600
packet id 042 delay: 296960
packet id 043 loss!!!
packet id 044 delay: 261200
packet id 045 delay: 267200
packet id 046 delay: 144200
packet id 047 delay: 329720
packet id 048 delay: 249320
packet id 049 delay: 294280
packet id 050 delay: 256000
packet id 051 delay: 239320
packet id 052 delay: 176200
packet id 053 delay: 300600
packet id 054 delay: 332320
packet id 055 delay: 233200
packet id 056 delay: 256400
packet id 057 delay: 234280
packet id 058 delay: 261712
packet id 059 delay: 225280
packet id 060 delay: 316360
packet id 061 delay: 602912
packet id 062 delay: 250320
packet id 063 delay: 272200
packet id 064 delay: 243200
packet id 065 delay: 2659640
packet id 066 delay: 243680
packet id 067 delay: 212200
packet id 068 delay: 410800
packet id 069 delay: 166200
packet id 070 delay: 274680
packet id 071 delay: 223280
packet id 072 delay: 212200
packet id 073 delay: 419000
packet id 074 delay: 274680
packet id 075 delay: 258680
packet id 076 delay: 270200
packet id 077 delay: 451440
packet id 078 delay: 283960
packet id 079 delay: 260880
packet id 080 delay: 395080
packet id 081 delay: 262640
packet id 082 delay: 295400
packet id 083 delay: 263280
packet id 084 delay: 291000
packet id 085 delay: 233040
packet id 086 delay: 344040
packet id 087 delay: 343680
packet id 088 delay: 243280
packet id 089 delay: 300280
packet id 090 delay: 630416
packet id 091 delay: 1081560
packet id 092 delay: 266200
packet id 093 delay: 425240
packet id 094 delay: 204880
packet id 095 delay: 259600
packet id 096 loss!!!
packet id 097 delay: 273680
packet id 098 loss!!!
packet id 099 delay: 1116736
packet id 100 delay: 230200
packet id 101 delay: 289400
packet id 102 delay: 308280
packet id 103 delay: 250320
packet id 104 delay: 280744
packet id 105 delay: 339400
packet id 106 delay: 324640
packet id 107 delay: 200880
packet id 108 delay: 232200
packet id 109 delay: 176200
packet id 110 delay: 280680
packet id 111 delay: 203960
packet id 112 delay: 334680
packet id 113 delay: 181200
packet id 114 delay: 235600
packet id 115 delay: 450600
packet id 116 delay: 301920
packet id 117 delay: 442560
packet id 118 delay: 296240
packet id 119 delay: 203880
packet id 120 delay: 227200
packet id 121 delay: 308000
packet id 122 delay: 223920
packet id 123 delay: 334400
packet id 124 delay: 279680
packet id 125 delay: 285720
packet id 126 delay: 274640
packet id 127 delay: 263280
packet id 128 delay: 268680
packet id 129 loss!!!
packet id 130 delay: 320280
packet id 131 delay: 189560
packet id 132 delay: 237600
packet id 133 delay: 223200
packet id 134 delay: 749160
packet id 135 delay: 264200
packet id 136 delay: 213920
packet id 137 loss!!!
packet id 138 delay: 262200
packet id 139 delay: 1690256
packet id 140 delay: 215200
packet id 141 loss!!!
packet id 142 delay: 312680
packet id 143 delay: 251280
packet id 144 delay: 316960
packet id 145 delay: 249200
packet id 146 delay: 270680
packet id 147 delay: 156200
packet id 148 delay: 479680
packet id 149 delay: 208200
packet id 150 delay: 200240
packet id 151 delay: 250200
packet id 152 delay: 295600
packet id 153 delay: 302600
packet id 154 delay: 236280
packet id 155 delay: 186880
packet id 156 delay: 306280
packet id 157 delay: 226920
packet id 158 delay: 238960
packet id 159 delay: 217600
packet id 160 delay: 297680
packet id 161 delay: 294400
packet id 162 delay: 239600
packet id 163 delay: 204920
packet id 164 delay: 223320
packet id 165 delay: 282280
packet id 166 delay: 192320
packet id 167 delay: 207200
packet id 168 delay: 290720
packet id 169 delay: 266200
packet id 170 delay: 214600
packet id 171 delay: 236560
packet id 172 delay: 375040
packet id 173 delay: 896000
packet id 174 delay: 247320
packet id 175 delay: 223200
packet id 176 delay: 339400
packet id 177 delay: 312680
packet id 178 delay: 269752
packet id 179 delay: 254200
packet id 180 delay: 292280
packet id 181 delay: 385720
packet id 182 delay: 244280
