MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 47.50% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 47.50% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 8180000
MONITORED: % | ON: 9.46% | TX: 0.16% | RX: 0.17% | INT: 0.00% | ONL: 15.41% | TXL: 0.65% | RXL: 4.05% | INTL: 0.44% | Energy: 419059200
MONITORED: % | ON: 9.78% | TX: 0.09% | RX: 0.06% | INT: 0.00% | ONL: 11.52% | TXL: 0.28% | RXL: 1.45% | INTL: 0.16% | Energy: 1397693520
MONITORED: % | ON: 9.80% | TX: 0.08% | RX: 0.05% | INT: 0.00% | ONL: 11.16% | TXL: 0.23% | RXL: 1.21% | INTL: 0.14% | Energy: 1716012400
MONITORED: % | ON: 9.85% | TX: 0.07% | RX: 0.04% | INT: 0.00% | ONL: 10.72% | TXL: 0.16% | RXL: 0.92% | INTL: 0.11% | Energy: 2605695360
MONITORED: % | ON: 9.86% | TX: 0.06% | RX: 0.03% | INT: 0.00% | ONL: 10.61% | TXL: 0.14% | RXL: 0.84% | INTL: 0.11% | Energy: 2954858720
MONITORED: % | ON: 9.89% | TX: 0.06% | RX: 0.03% | INT: 0.00% | ONL: 10.46% | TXL: 0.13% | RXL: 0.72% | INTL: 0.10% | Energy: 3802047280
MONITORED: % | ON: 9.92% | TX: 0.07% | RX: 0.03% | INT: 0.00% | ONL: 10.45% | TXL: 0.14% | RXL: 0.72% | INTL: 0.09% | Energy: 4182208480
MONITORED: % | ON: 9.97% | TX: 0.07% | RX: 0.03% | INT: 0.00% | ONL: 10.38% | TXL: 0.13% | RXL: 0.66% | INTL: 0.09% | Energy: 5049498480
MONITORED: % | ON: 9.99% | TX: 0.07% | RX: 0.03% | INT: 0.00% | ONL: 10.34% | TXL: 0.13% | RXL: 0.65% | INTL: 0.09% | Energy: 5448572400
MONITORED: % | ON: 10.02% | TX: 0.07% | RX: 0.03% | INT: 0.00% | ONL: 10.30% | TXL: 0.12% | RXL: 0.62% | INTL: 0.08% | Energy: 6261907120
MONITORED: % | ON: 10.03% | TX: 0.07% | RX: 0.02% | INT: 0.00% | ONL: 10.27% | TXL: 0.11% | RXL: 0.61% | INTL: 0.08% | Energy: 6726996800
MONITORED: % | ON: 10.06% | TX: 0.07% | RX: 0.02% | INT: 0.00% | ONL: 10.26% | TXL: 0.11% | RXL: 0.59% | INTL: 0.08% | Energy: 7468197360
MONITORED: % | ON: 10.07% | TX: 0.07% | RX: 0.02% | INT: 0.00% | ONL: 10.23% | TXL: 0.11% | RXL: 0.58% | INTL: 0.08% | Energy: 7979419360
MONITORED: % | ON: 10.06% | TX: 0.07% | RX: 0.02% | INT: 0.00% | ONL: 10.21% | TXL: 0.10% | RXL: 0.56% | INTL: 0.08% | Energy: 8704562320
MONITORED: % | ON: 10.06% | TX: 0.07% | RX: 0.02% | INT: 0.00% | ONL: 10.18% | TXL: 0.10% | RXL: 0.54% | INTL: 0.08% | Energy: 9242581120
MONITORED: % | ON: 10.06% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.16% | TXL: 0.09% | RXL: 0.53% | INTL: 0.08% | Energy: 9878384560
MONITORED: % | ON: 10.05% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.14% | TXL: 0.09% | RXL: 0.51% | INTL: 0.08% | Energy: 10452634080
MONITORED: % | ON: 10.05% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.12% | TXL: 0.09% | RXL: 0.50% | INTL: 0.08% | Energy: 11076200080
MONITORED: % | ON: 10.04% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.11% | TXL: 0.09% | RXL: 0.49% | INTL: 0.07% | Energy: 11660539520
MONITORED: % | ON: 10.04% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.09% | TXL: 0.08% | RXL: 0.48% | INTL: 0.07% | Energy: 12285574320
MONITORED: % | ON: 10.03% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.07% | TXL: 0.08% | RXL: 0.47% | INTL: 0.07% | Energy: 12899229840
MONITORED: % | ON: 10.03% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.06% | TXL: 0.08% | RXL: 0.46% | INTL: 0.07% | Energy: 13464622960
MONITORED: % | ON: 10.03% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.05% | TXL: 0.08% | RXL: 0.45% | INTL: 0.07% | Energy: 14128820720
MONITORED: % | ON: 10.03% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.04% | TXL: 0.07% | RXL: 0.45% | INTL: 0.07% | Energy: 14668730800
MONITORED: % | ON: 10.02% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.03% | TXL: 0.07% | RXL: 0.44% | INTL: 0.07% | Energy: 15355135920
MONITORED: % | ON: 10.02% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.02% | TXL: 0.07% | RXL: 0.44% | INTL: 0.07% | Energy: 15855267200
MONITORED: % | ON: 10.02% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 10.01% | TXL: 0.07% | RXL: 0.43% | INTL: 0.07% | Energy: 16570291760
