packet id 001 loss!!!
packet id 002 delay: 707704
packet id 003 delay: 469528
packet id 004 delay: 430072
packet id 005 delay: 450344
packet id 006 delay: 439248
packet id 007 delay: 502448
packet id 008 delay: 721432
packet id 009 delay: 525896
packet id 010 delay: 270168
packet id 011 delay: 559032
packet id 012 delay: 431024
packet id 013 delay: 376288
packet id 014 delay: 388568
packet id 015 delay: 788688
packet id 016 delay: 493936
packet id 017 delay: 587528
packet id 018 delay: 610112
packet id 019 delay: 547672
packet id 020 delay: 825920
packet id 021 delay: 536496
packet id 022 delay: 343288
packet id 023 delay: 560560
packet id 024 delay: 640936
packet id 025 delay: 380304
packet id 026 delay: 442272
packet id 027 delay: 612032
packet id 028 delay: 535280
packet id 029 loss!!!
packet id 030 delay: 326536
packet id 031 delay: 447104
packet id 032 delay: 451176
packet id 033 delay: 537656
packet id 034 loss!!!
packet id 035 delay: 533480
packet id 036 delay: 590168
packet id 037 delay: 423856
packet id 038 delay: 356232
packet id 039 delay: 404968
packet id 040 delay: 452720
packet id 041 delay: 425768
packet id 042 delay: 363304
packet id 043 delay: 470824
packet id 044 delay: 425232
packet id 045 delay: 479120
packet id 046 delay: 490536
packet id 047 delay: 522448
packet id 048 delay: 461760
packet id 049 delay: 930872
packet id 050 delay: 585128
packet id 051 delay: 509688
packet id 052 delay: 425432
packet id 053 delay: 449408
packet id 054 delay: 378936
packet id 055 delay: 602936
packet id 056 delay: 635992
packet id 057 delay: 441648
packet id 058 delay: 529616
packet id 059 loss!!!
packet id 060 delay: 417648
packet id 061 delay: 513768
packet id 062 delay: 515392
packet id 063 delay: 387160
packet id 064 delay: 573824
packet id 065 delay: 512104
packet id 066 delay: 535992
packet id 067 delay: 397496
packet id 068 delay: 369296
packet id 069 delay: 592088
packet id 070 delay: 592216
packet id 071 delay: 424744
packet id 072 delay: 526104
packet id 073 delay: 500408
packet id 074 loss!!!
packet id 075 delay: 573104
packet id 076 delay: 431648
packet id 077 delay: 559968
packet id 078 delay: 399288
packet id 079 delay: 446896
packet id 080 delay: 514088
packet id 081 delay: 451800
packet id 082 delay: 535728
packet id 083 delay: 431544
packet id 084 delay: 378760
packet id 085 delay: 485952
packet id 086 delay: 536280
packet id 087 delay: 414024
packet id 088 delay: 487616
packet id 089 delay: 550056
packet id 090 delay: 469480
packet id 091 delay: 655320
packet id 092 delay: 480928
packet id 093 delay: 468552
packet id 094 delay: 559384
packet id 095 delay: 487744
packet id 096 delay: 418008
packet id 097 delay: 459080
packet id 098 delay: 597184
packet id 099 delay: 459480
packet id 100 delay: 543952
packet id 101 delay: 554640
packet id 102 delay: 641608
packet id 103 delay: 483552
packet id 104 delay: 713608
packet id 105 delay: 474912
packet id 106 delay: 591960
packet id 107 delay: 555920
packet id 108 delay: 508384
packet id 109 delay: 456192
packet id 110 delay: 482592
packet id 111 delay: 489464
packet id 112 delay: 449168
packet id 113 loss!!!
packet id 114 loss!!!
packet id 115 delay: 562528
packet id 116 delay: 449992
packet id 117 delay: 624448
packet id 118 delay: 485424
packet id 119 delay: 474392
packet id 120 delay: 672616
packet id 121 delay: 853176
packet id 122 delay: 499712
packet id 123 delay: 554088
packet id 124 delay: 538656
